program_id,milestones_missed,burn_rate,stakeholder_count,at_risk
1,27,0.386,265.24,0
2,36,0.316,153.46,0
3,34,0.233,336.49,1
4,45,0.412,17.53,0
5,48,0.035,385.09,1
6,47,0.48,251.23,0
7,14,0.054,299.4,1
8,17,0.071,245.61,0
9,7,0.342,498.58,1
10,41,0.3,486.94,1
11,33,0.008,219.61,0
12,55,0.255,35.16,0
13,13,0.199,126.01,0
14,31,0.378,169.44,0
15,55,0.094,423.15,1
16,52,0.464,321.45,1
17,20,0.03,115.81,0
18,49,0.457,92.95,0
19,29,0.223,318.91,1
20,14,0.459,348.36,1
21,15,0.163,192.31,0
22,49,0.066,212.19,0
23,31,0.43,411.89,1
24,2,0.209,283.58,0
25,17,0.091,138.02,0
26,13,0.285,240.5,0
27,17,0.2,407.34,1
28,19,0.354,325.84,1
29,28,0.003,418.68,1
30,7,0.298,193.31,0
31,55,0.259,52.91,0
32,26,0.343,264.13,0
33,22,0.415,359.3,1
34,38,0.368,85.72,0
35,31,0.067,219.93,0
36,26,0.041,64.77,0
37,28,0.266,13.96,0
38,50,0.084,403.68,1
39,38,0.303,42.31,0
40,38,0.103,275.73,1
41,29,0.228,296.9,1
42,51,0.44,346.47,1
43,41,0.005,50.53,0
44,20,0.055,404.8,1
45,18,0.142,376.09,1
46,37,0.494,163.05,0
47,31,0.271,294.3,1
48,2,0.196,489.4,1
49,50,0.365,379.83,1
50,7,0.489,179.5,0
51,20,0.405,38.98,0
52,34,0.205,273.88,1
53,41,0.279,228.48,0
54,37,0.372,386.1,1
55,37,0.302,101.36,0
56,26,0.181,448.99,1
57,47,0.378,439.12,1
58,12,0.343,368.79,1
59,16,0.251,171.63,0
60,42,0.193,185.55,0
61,50,0.424,377.59,1
62,49,0.408,51.95,0
63,47,0.208,174.28,0
64,48,0.055,117.53,0
65,25,0.083,202.68,0
66,49,0.218,308.93,1
67,11,0.063,28.14,0
68,25,0.352,307.67,1
69,31,0.308,307.28,1
70,10,0.24,344.1,1
71,41,0.002,134.71,0
72,54,0.037,287.08,1
73,47,0.162,331.03,1
74,41,0.256,403.88,1
75,43,0.099,143.7,0
76,37,0.18,55.43,0
77,54,0.421,468.25,1
78,6,0.438,267.88,0
79,40,0.073,182.15,0
80,10,0.06,271.99,0
81,56,0.488,99.51,0
82,57,0.028,200.12,0
83,38,0.162,273.42,1
84,17,0.229,430.25,1
85,8,0.265,401.54,1
86,45,0.402,151.08,0
87,53,0.391,231.2,0
88,32,0.239,498.34,1
89,31,0.422,48.85,0
90,55,0.056,463.43,1
91,23,0.291,262.85,0
92,5,0.174,211.84,0
93,49,0.349,367.61,1
94,26,0.4,168.06,0
95,20,0.388,247.61,0
96,20,0.147,209.34,0
97,30,0.332,299.9,1
98,55,0.074,70.34,0
99,31,0.196,459.05,1
100,22,0.22,366.31,1
101,29,0.053,466.67,1
102,46,0.025,490.72,1
103,57,0.475,27.54,0
104,28,0.095,123.56,0
105,34,0.205,331.99,1
106,20,0.134,422.99,1
107,46,0.124,150.32,0
108,37,0.486,449.25,1
109,10,0.431,404.53,1
110,10,0.16,313.16,1
111,33,0.27,107.69,0
112,33,0.485,362.99,1
113,8,0.368,422.86,1
114,8,0.419,220.8,0
115,32,0.234,257.99,0
116,54,0.083,279.57,1
117,52,0.279,395.59,1
118,20,0.066,123.78,0
119,52,0.091,110.34,0
120,7,0.042,45.39,0
121,6,0.347,313.97,1
122,40,0.036,198.47,0
123,53,0.325,48.29,0
124,49,0.353,349.33,1
125,8,0.376,259.21,0
126,50,0.377,223.74,0
127,47,0.402,251.02,0
128,28,0.349,498.78,1
129,8,0.256,291.9,0
130,30,0.077,272.02,0
131,24,0.36,438.28,1
132,49,0.197,409.29,1
133,28,0.488,485.99,1
134,23,0.169,488.93,1
135,6,0.234,300.52,0
136,18,0.208,18.73,0
137,2,0.303,32.42,0
138,50,0.012,300.48,1
139,23,0.102,72.77,0
140,20,0.406,287.06,1
141,22,0.052,267.2,0
142,43,0.25,427.94,1
143,22,0.191,437.17,1
144,8,0.078,35.46,0
145,2,0.423,241.84,0
146,45,0.416,286.83,1
147,24,0.324,316.14,1
148,17,0.186,476.13,1
149,19,0.367,94.02,0
150,48,0.209,355.87,1
151,34,0.385,203.67,0
152,32,0.409,105.02,0
153,9,0.423,283.81,0
154,31,0.151,435.79,1
155,13,0.418,300.36,1
156,32,0.298,162.03,0
157,39,0.336,431.19,1
158,43,0.4,318.47,1
159,1,0.305,260.66,0
160,22,0.231,413.31,1
161,5,0.035,491.84,1
162,3,0.279,26.84,0
163,41,0.329,125.38,0
164,20,0.328,20.12,0
165,14,0.34,351.93,1
166,15,0.004,499.03,1
167,12,0.154,49.0,0
168,11,0.373,164.6,0
169,30,0.138,105.21,0
170,40,0.015,24.53,0
171,22,0.415,288.94,1
172,42,0.28,20.22,0
173,16,0.39,137.39,0
174,45,0.079,14.95,0
175,57,0.442,20.4,0
176,25,0.174,463.09,1
177,58,0.343,376.16,1
178,14,0.297,453.08,1
179,44,0.145,384.5,1
180,7,0.01,29.49,0
181,37,0.098,315.84,1
182,33,0.302,194.93,0
183,44,0.492,383.44,1
184,52,0.167,24.16,0
185,58,0.147,398.68,1
186,19,0.041,455.57,1
187,49,0.235,257.57,0
188,45,0.285,344.12,1
189,54,0.458,71.71,0
190,28,0.139,302.95,1
191,38,0.172,159.71,0
192,52,0.197,312.2,1
193,33,0.488,26.2,0
194,9,0.209,42.33,0
195,23,0.028,254.05,0
196,35,0.152,79.18,0
197,33,0.348,257.4,0
198,22,0.073,478.82,1
199,54,0.11,414.68,1
200,51,0.467,428.87,1
201,24,0.128,196.52,0
202,54,0.451,366.58,1
203,13,0.09,320.29,1
204,54,0.203,163.89,0
205,9,0.354,455.73,1
206,47,0.076,426.25,1
207,32,0.134,183.78,0
208,25,0.162,162.4,0
209,20,0.158,163.34,0
210,23,0.142,286.58,1
211,27,0.387,399.31,1
212,10,0.116,447.89,1
213,58,0.015,489.24,1
214,38,0.004,110.43,0
215,25,0.273,226.21,0
216,52,0.223,364.22,1
217,48,0.096,21.85,0
218,38,0.081,378.32,1
219,33,0.237,155.94,0
220,42,0.063,473.41,1
221,49,0.212,317.24,1
222,25,0.421,37.28,0
223,47,0.415,258.28,0
224,43,0.349,11.82,0
225,8,0.468,324.59,1
226,17,0.057,23.1,0
227,3,0.24,174.9,0
228,1,0.265,103.17,0
229,2,0.281,427.97,1
230,42,0.182,426.48,1
231,31,0.244,388.63,1
232,35,0.172,83.04,0
233,49,0.499,278.51,1
234,18,0.273,298.67,1
235,35,0.091,95.98,0
236,54,0.175,68.68,0
237,55,0.454,101.42,0
238,26,0.415,487.56,1
239,2,0.107,330.37,1
240,31,0.087,221.16,0
241,10,0.348,357.2,1
242,55,0.167,390.01,1
243,33,0.045,453.21,1
244,34,0.18,120.37,0
245,52,0.394,272.0,1
246,20,0.469,213.13,0
247,9,0.427,60.36,0
248,31,0.321,72.1,0
249,11,0.109,335.5,1
250,53,0.059,302.19,1
251,47,0.191,488.92,1
252,16,0.475,56.3,0
253,33,0.401,437.71,1
254,9,0.174,233.04,0
255,44,0.229,210.91,0
256,9,0.405,43.65,0
257,22,0.022,165.33,0
258,42,0.369,278.26,1
259,17,0.091,25.65,0
260,14,0.154,32.39,0
261,7,0.048,299.32,0
262,48,0.063,13.7,0
263,16,0.375,466.31,1
264,43,0.131,84.46,0
265,9,0.207,437.66,1
266,53,0.126,146.71,0
267,37,0.321,195.96,0
268,32,0.146,410.07,1
269,34,0.323,192.65,0
270,19,0.335,384.0,1
271,53,0.385,221.0,0
272,26,0.487,84.18,0
273,49,0.066,35.83,0
274,52,0.045,164.7,0
275,19,0.382,395.87,1
276,44,0.143,409.27,1
277,32,0.359,465.57,1
278,28,0.257,42.41,0
279,24,0.083,180.3,0
280,54,0.412,434.09,1
281,22,0.197,165.89,0
282,10,0.06,81.19,0
283,58,0.466,324.83,1
284,31,0.049,313.48,1
285,34,0.336,69.09,0
286,38,0.041,417.13,1
287,55,0.067,394.27,1
288,14,0.249,223.68,0
289,12,0.349,477.29,1
290,1,0.004,441.01,1
291,48,0.178,440.52,1
292,6,0.32,245.83,0
293,2,0.477,403.91,1
294,56,0.494,136.93,0
295,9,0.218,70.34,0
296,51,0.427,365.37,1
297,39,0.21,256.36,0
298,11,0.107,43.46,0
299,20,0.21,323.11,1
300,55,0.229,227.69,0
301,31,0.097,427.28,1
302,53,0.128,209.83,0
303,45,0.082,168.23,0
304,52,0.09,33.49,0
305,4,0.009,283.19,0
306,48,0.165,380.27,1
307,7,0.084,394.27,1
308,30,0.12,13.87,0
309,9,0.091,312.66,1
310,34,0.377,31.29,0
311,3,0.192,33.37,0
